"Classification","Year","Period","Period Desc.","Aggregate Level","Is Leaf Code","Trade Flow Code","Trade Flow","Reporter Code","Reporter","Reporter ISO","Partner Code","Partner","Partner ISO","2nd Partner Code","2nd Partner","2nd Partner ISO","Customs Proc. Code","Customs","Mode of Transport Code","Mode of Transport","Commodity Code","Commodity","Qty Unit Code","Qty Unit","Qty","Alt Qty Unit Code","Alt Qty Unit","Alt Qty","Netweight (kg)","Gross weight (kg)","Trade Value (US$)","CIF Trade Value (US$)","FOB Trade Value (US$)","Flag"
"H3",2008,2008,2008,4,0,2,"Export",450,"Madagascar","MDG",0,"World","WLD",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,1166706,,1166706,,879757,,,0
"H3",2008,2008,2008,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,214297,,214297,,74883,,,0
"H3",2008,2008,2008,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,69998,,69998,,17615,,,0
"H3",2008,2008,2008,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,16187,,16187,,7572,,,0
"H3",2008,2008,2008,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,866212,,866212,,779685,,,0
"H3",2008,2008,2008,4,0,2,"Export",450,"Madagascar","MDG",724,"Spain","ESP",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,12,,12,,1,,,0
"H3",2009,2009,2009,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,169323,,169323,,35077,,,0
"H3",2009,2009,2009,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,52700,,52700,,12476,,,0
"H3",2009,2009,2009,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,47731,,47731,,24331,,,0
"H3",2009,2009,2009,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,407014,,407014,,274025,,,0
"H3",2010,2010,2010,4,0,2,"Export",450,"Madagascar","MDG",174,"Comoros","COM",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,316439,,316439,,48052,,,0
"H3",2010,2010,2010,4,0,2,"Export",450,"Madagascar","MDG",175,"Mayotte","MYT",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,70250,,70250,,10187,,,0
"H3",2010,2010,2010,4,0,2,"Export",450,"Madagascar","MDG",251,"France","FRA",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,42508,,42508,,16898,,,0
"H3",2010,2010,2010,4,0,2,"Export",450,"Madagascar","MDG",360,"Indonesia","IDN",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,40000,,40000,,36015,,,0
"H3",2010,2010,2010,4,0,2,"Export",450,"Madagascar","MDG",480,"Mauritius","MUS",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,759027,,759027,,519575,,,0
"H3",2010,2010,2010,4,0,2,"Export",450,"Madagascar","MDG",586,"Pakistan","PAK",,,,,,,,1202,"Ground-nuts, not roasted or otherwise cooked, whether or not shelled or broken.",8,"Weight in kilograms",,,200,,200,,1,,,0
